Identifier,Dhatupatha,Dhatu,Pratyaya,Artha,Gana,Pad,Karmak,It_Sign,English_Meaning,Hindi_Meaning
०६.०००९,१२८९),विज्,ओँविजीँ,भयचलनयोः,,तुदादिः,आत्मनेपदी,अकर्मकः,"विज्,ओँविजीँ,भयचलनयोः,, तुदादिः, आत्मनेपदी ,अकर्मकः ,सेट्  ,(to fear,to tremble, to shiver, to have disaster)","डरना, डर से कम्पित होना, कांपना, अपद्ग्रस्त होना, विपत्ति में पड़ना"
०६.००१०,१२९०),लज्,ओँलजीँ,व्रीडायाम्,,तुदादिः,आत्मनेपदी,अकर्मकः,"लज्,ओँलजीँ,व्रीडायाम्,, तुदादिः, आत्मनेपदी ,अकर्मकः ,सेट्  ,(to be ashamed,to be shy)","लज्जित होना, मुँह छिपाना"
०६.००११,१२९१),लज्ज्,ओँलस्जीँ,व्रीडायाम्,,तुदादिः,आत्मनेपदी,अकर्मकः,"लज्ज्,ओँलस्जीँ,व्रीडायाम्,, तुदादिः, आत्मनेपदी ,अकर्मकः ,सेट्  ,(to be ashamed,to be shy)",लज्जित होना
०६.००१२,१२९२),व्रश्च्,ओँव्रस्चूँ,छेदने,,तुदादिः,परस्मैपदी,सकर्मकः,"व्रश्च्,ओँव्रस्चूँ,छेदने,, तुदादिः, परस्मैपदी ,सकर्मकः ,वेट् (to cut,to make a hole, to tear)","छेद करना, कतरना"
०६.००१३,१२९३),व्यच्,व्यचँ,व्याजीकरणे,,तुदादिः,परस्मैपदी,सकर्मकः,"व्यच्,व्यचँ,व्याजीकरणे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to deceive,to cheat)","ठगना, फ़साना"
०६.००१४,१२९४),उञ्छ्,उछिँ,उञ्छे,,तुदादिः,परस्मैपदी,सकर्मकः,"उञ्छ्,उछिँ,उञ्छे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to collect, to gather, to glean)","थोड़ा थोड़ा एकत्र करना, थोड़ा थोड़ा बटोरना, बीनना"
०६.००१५,१२९५),उच्छ्,उछीँ,विवासे,,तुदादिः,परस्मैपदी,सकर्मकः,"उच्छ्,उछीँ,विवासे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to dwell abroad,to retire, to exile)","पूरा करना, समाप्त करना, छोड़ना, त्यागना"
०६.००१६,१२९६),ऋच्छ्,ऋछँ,गतीन्द्रियप्रलयमूर्तिभावेषु,,तुदादिः,परस्मैपदी,अकर्मकः,"ऋच्छ्,ऋछँ,गतीन्द्रियप्रलयमूर्तिभावेषु,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to go, to become weak, to lose power of senses, to harden)","जाना, कठिन होना, इन्द्रिय का बलघट जाना"
०६.००१७,१२९७),मिच्छ्,मिछँ,उत्क्लेशे,,तुदादिः,परस्मैपदी,सकर्मकः,"मिच्छ्,मिछँ,उत्क्लेशे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to annoy,to hurt,to obstruct)","पीड़ा देना, कष्ट देना"
०६.००१८,१२९८),जर्ज्,जर्जँ,परिभाषणभर्त्सनयोः,,तुदादिः,परस्मैपदी,सकर्मकः,"जर्ज्,जर्जँ,परिभाषणभर्त्सनयोः,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to say,to kill, to blame, to abuse)","बोलना, हिंसा करना, ताड़ना, करना"
०६.००१९,१२९९),चर्च्,चर्चँ,परिभाषणभर्त्सनयोः,,तुदादिः,परस्मैपदी,सकर्मकः,"चर्च्,चर्चँ,परिभाषणभर्त्सनयोः,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to say,to kill, to blame, to abuse)","बोलना, निन्दा करना, दोष लगाना, भयभीत करना"
०६.००२०,१३००),झर्झ्,झर्झँ,परिभाषणभर्त्सनयोः,,तुदादिः,परस्मैपदी,सकर्मकः,"झर्झ्,झर्झँ,परिभाषणभर्त्सनयोः,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to say,to kill, to blame, to abuse)","बोलना, निन्दा करना, दोष लगाना, भयभीत करना"
०६.००२१,१३०१),त्वच्,त्वचँ,संवरणे,,तुदादिः,परस्मैपदी,सकर्मकः,"त्वच्,त्वचँ,संवरणे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to cover)","आच्छादित करना, ढांकना"
०६.००२२,१३०२),ऋच्,ऋचँ,स्तुतौ,दीप्तौ,च,,तुदादिः,"ऋच्,ऋचँ,स्तुतौ,दीप्तौ,च,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to praise, to pray, to glow, to shine)","स्तुति करना, प्रार्थना करना"
०६.००२३,१३०३),उब्ज्,उब्जँ,आर्जवे,,तुदादिः,परस्मैपदी,अकर्मकः,"उब्ज्,उब्जँ,आर्जवे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to be straight (non-twisted))",सीधी रीति से बर्ताव करना
०६.००२४,१३०४),उज्झ्,उज्झँ,उत्सर्गे,,तुदादिः,परस्मैपदी,सकर्मकः,"उज्झ्,उज्झँ,उत्सर्गे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to abandon,to leave)","छोडना, त्यागना"
०६.००२५,१३०५),लुभ्,लुभँ,विमोहने,,तुदादिः,परस्मैपदी,सकर्मकः,"लुभ्,लुभँ,विमोहने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to be confused, to lose senses, to act weird)","मतिभ्रंश होना, भ्रान्त होना"
०६.००२६,१३०६),रिफ्,रिफँ,कत्थनयुद्धनिन्दाहिंसादानेषु,,तुदादिः,परस्मैपदी,सकर्मकः,"रिफ्,रिफँ,कत्थनयुद्धनिन्दाहिंसादानेषु,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to speak, to boast, to fight, to insult, to give)","बोलना, युद्ध करना, निंदा करना, देना, दान देना"
०६.००२७,१३०६ इत्यस्य पाठभेदः),रिह्,रिहँ,कत्थनयुद्धनिन्दाहिंसादानेषु,,तुदादिः,परस्मैपदी,सकर्मकः,"रिह्,रिहँ,कत्थनयुद्धनिन्दाहिंसादानेषु,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,","to speak, to boast, to fight, to insult, to give"
०६.००२८,१३०७),तृप्,तृपँ,तृप्तौ,,तुदादिः,परस्मैपदी,सकर्मकः,"तृप्,तृपँ,तृप्तौ,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to satisfy, to be satisfied, to please, to be pleased)","तृप्त होना, प्रसन्न करना"
०६.००३०,१३०८ इत्यस्य पाठभेदः),तृफ्,तृफँ,तृप्तौ,,तुदादिः,परस्मैपदी,अकर्मकः,"तृफ्,तृफँ,तृप्तौ,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,","to satisfy, to be satisfied, to please, to be pleased"
०६.००३१,१३०८),तृम्फ्,तृन्फँ,तृप्तौ,,तुदादिः,परस्मैपदी,अकर्मकः,"तृम्फ्,तृन्फँ,तृप्तौ,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to satisfy, to be satisfied, to please, to be pleased)","तृप्त होना, सन्तुष्ट होना"
०६.००३२,१३०९),तुप्,तुपँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"तुप्,तुपँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to injure, to destroy)","हिंसा करना, मारना"
०६.००३३,१३१०),तुम्प्,तुन्पँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"तुम्प्,तुन्पँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to injure, to destroy)","हिंसा करना, मारना"
०६.००३४,१३११),तुफ्,तुफँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"तुफ्,तुफँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to injure, to destroy)",मार डालना
०६.००३५,१३१२),तुम्फ्,तुन्फँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"तुम्फ्,तुन्फँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to injure, to destroy)",मार डालना
०६.००३६,१३१३),दृप्,दृपँ,उत्क्लेशे,,तुदादिः,परस्मैपदी,अकर्मकः,"दृप्,दृपँ,उत्क्लेशे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to give pain, to injure, to torment)","पीड़ा करना, दुःख देना"
०६.००३८,१३१४ इत्यस्य पाठभेदः),दृफ्,दृफँ,उत्क्लेशे,,तुदादिः,परस्मैपदी,अकर्मकः,"दृफ्,दृफँ,उत्क्लेशे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,","to give pain, to injure, to torment"
०६.००३९,१३१४),दृम्फ्,दृन्फँ,उत्क्लेशे,,तुदादिः,परस्मैपदी,अकर्मकः,"दृम्फ्,दृन्फँ,उत्क्लेशे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to give pain, to injure, to torment)","पीड़ा करना, दुःख देना"
०६.००४०,१३१५),ऋफ्,ऋफँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"ऋफ्,ऋफँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to destroy)","हिंसा करना, मार डालना"
०६.००४१,१३१६),ऋम्फ्,ऋन्फँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"ऋम्फ्,ऋन्फँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to destroy)","हिंसा करना, मार डालना"
०६.००४२,१३१७),गुफ्,गुफँ,ग्रन्थे,,तुदादिः,परस्मैपदी,सकर्मकः,"गुफ्,गुफँ,ग्रन्थे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to string together, to tie together)","गूंथना, गुम्फन करना, रचना"
०६.००४३,१३१८),गुम्फ्,गुन्फँ,ग्रन्थे,,तुदादिः,परस्मैपदी,सकर्मकः,"गुम्फ्,गुन्फँ,ग्रन्थे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to string together, to tie together)","गूंथना, गुम्फन करना"
०६.००४४,१३१९),उभ्,उभँ,पूरणे,,तुदादिः,परस्मैपदी,सकर्मकः,"उभ्,उभँ,पूरणे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to fill)","भरना, पूर्ण करना"
०६.००४५,१३२०),उम्भ्,उन्भँ,पूरणे,,तुदादिः,परस्मैपदी,सकर्मकः,"उम्भ्,उन्भँ,पूरणे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to fill)",भरना
०६.००४६,१३२१),शुभ्,शुभँ,शोभायाम्,,तुदादिः,परस्मैपदी,अकर्मकः,"शुभ्,शुभँ,शोभायाम्,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to shine, to look beautiful)","सुन्दर होना, शोभायमान होना"
०६.००४७,१३२२),शुम्भ्,शुन्भँ,शोभायाम्,,तुदादिः,परस्मैपदी,अकर्मकः,"शुम्भ्,शुन्भँ,शोभायाम्,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to shine, to look beautiful)","सुन्दर होना, शोभायमान होना"
०६.००४८,१३२३),दृभ्,दृभीँ,ग्रन्थे,,तुदादिः,परस्मैपदी,सकर्मकः,"दृभ्,दृभीँ,ग्रन्थे,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to string together, to tie together)","गूंथना, रचना"
०६.००४९,१३२४),चृत्,चृतीँ,हिंसाग्रन्थनयोः,,तुदादिः,परस्मैपदी,सकर्मकः,"चृत्,चृतीँ,हिंसाग्रन्थनयोः,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to destroy, to hurt, to string together, to tie together, to collect)","पीड़ा देना, मार डालना, एकत्र करके बांधना, गूंथना"
०६.००५०,१३२५),विध्,विधँ,विधाने,,तुदादिः,परस्मैपदी,सकर्मकः,"विध्,विधँ,विधाने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to mention, to make a rule, to state)","विधान करना, नियम बनाना"
०६.००५१,१३२६),जुड्,जुडँ,गतौ,बन्धने,च,,तुदादिः,"जुड्,जुडँ,गतौ,बन्धने,च,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to go, to bind)","जाना, बांधना"
